step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,rho_min,rho_max,pressure_min,pressure_max,mu_min,mu_max,u_max,f_pressure_max,f_surf_max,f_mu_max,f_body_max,f_total_max,force_over_rho_max,force_cap_hits,g_min,g_max,wall_cells,write_allowed_cells,phase_wall_missing_links,phase_wall_stream_mass_before,phase_wall_reflect_mass,phase_wall_delta_mass,wall_ghost_min,wall_ghost_max,nonfinite_count
0,1151.3142624653556,0.0,0.0,0.9941414338584684,0,0,0.1,0.9947272904726217,0.03333333333333333,0.33157576349087386,-0.00014714539658055635,0.0008062190325630363,9.441549908702725e-05,0.0,0.0001888309981740288,0.0,0.0,0.0001888309981740288,0.00039429704359000194,0,0.004629629629629629,0.2962962962962963,576,576,0,0.0,0.0,0.0,1.5794051612825086e-06,0.5,0
1,1151.3142624653556,0.0,0.0,0.9945160181843508,0,0,0.1,0.9950644163659157,0.03333333333333333,0.33168813878863856,-0.00014500923759951017,0.0007945018072154198,0.00021963154005145153,0.0,0.00018522298833249904,0.0,0.0,0.00018522298833249904,0.00039965206667489457,0,0.004625187071489378,0.2962962962962963,576,576,10368,1151.3142624653556,0.10449994431717499,0.0,1.5794051612825086e-06,0.5,0
2,1151.3142624653556,0.0,0.0,0.9948116422325328,0,0,0.1,0.9953304780092795,0.03333333333333333,0.33177682600309316,-0.00014302773272188932,0.0008035312517274376,0.000344020882259024,0.0,0.0001829977635831496,0.0,0.0,0.0001829977635831496,0.0004025083863436225,0,0.0046219381649429125,0.2962962962962963,576,576,10368,1151.3142624653556,0.10280745430217139,0.0,1.426655640354243e-06,0.5,0
3,1151.3142624653556,0.0,0.0,0.9950486928449573,0,0,0.1,0.9955438235604617,0.03333333333333333,0.33184794118682054,-0.00014118875934327832,0.0008092833063793598,0.00045016122895784783,0.0,0.00018143610477562756,0.0,0.0,0.00018143610477562756,0.0004041856584588465,0,0.004619070687890948,0.2962962962962963,576,576,10368,1151.3142624653556,0.10120580919685741,0.0,1.3144633611069642e-06,0.5,0
4,1151.3142624653553,-2.2737367544323206e-13,0.0,0.9952398797909361,0,0,0.1,0.9957158918118425,0.03333333333333333,0.33190529727061413,-0.00013948681118729838,0.0008131960341277719,0.000550705901238168,0.0,0.00018029347146852328,0.0,0.0,0.00018029347146852328,0.00040526175198821326,0,0.004616590056369081,0.2962962962962963,576,576,10368,1151.3142624653553,0.09969964313306728,0.0,1.2283043514857969e-06,0.5,0
5,1151.3142624653553,-2.2737367544323206e-13,0.0,0.99539388227012,0,0,0.1,0.9958544940431081,0.03333333333333333,0.33195149801436935,-0.00013791738640974734,0.0008159947097239429,0.0006425309530520513,0.0,0.00017943396630126007,0.0,0.0,0.00017943396630126007,0.0004060078197307183,0,0.004614348466648749,0.2962962962962963,576,576,10368,1151.3142624653553,0.09828938900871513,0.0,1.1597309251680631e-06,0.5,0
6,1151.3142624653551,-4.547473508864641e-13,0.0,0.9955172575759134,0,0,0.1,0.995965531818322,0.03333333333333333,0.33198851060610735,-0.00013647501472454517,0.0008180758237602345,0.0007281330205452276,0.0,0.00017877490530199977,0.0,0.0,0.00017877490530199977,0.00040656009384844706,0,0.0046123143508958134,0.2962962962962963,576,576,10368,1151.3142624653551,0.09697355124303515,0.0,1.1035723239293057e-06,0.5,0
7,1151.3142624653551,-4.547473508864641e-13,0.0,0.9956153371421045,0,0,0.1,0.9960538034278941,0.03333333333333333,0.33201793447596467,-0.00013515291628153988,0.0008196844354505219,0.0008077113884565413,0.0,0.00017826254819357953,0.0,0.0,0.00017826254819357953,0.0004069979258164385,0,0.004610436925741402,0.2962962962962963,576,576,10368,1151.3142624653551,0.09574945755583444,0.0,1.0565130149795849e-06,0.5,0
8,1151.314262465355,-6.821210263296962e-13,0.0,0.9956926158611017,0,0,0.1,0.9961233542749915,0.03333333333333333,0.3320411180916638,-0.00013394328665153454,0.0008209526098686926,0.0008823966298850191,0.0,0.0001778601707959691,0.0,0.0,0.0001778601707959691,0.00040736179694498447,0,0.004608698472854527,0.2962962962962963,576,576,10368,1151.314262465355,0.09461357875317188,0.0,1.016336913282286e-06,0.5,0
9,1151.3142624653551,-4.547473508864641e-13,0.0,0.995752919688466,0,0,0.1,0.9961776277196195,0.03333333333333333,0.33205920923987314,-0.0001328377425876498,0.0008219709807617077,0.0009524470005360791,0.0,0.00017754168713258973,0.0,0.0,0.00017754168713258973,0.00040767280062345955,0,0.004607073471980587,0.2962962962962963,576,576,10368,1151.3142624653551,0.09356174776717605,0.0,9.815077356633348e-07,0.5,0
