diff_count,diff_max,diff_max_abs,diff_mean,diff_min,diff_nonfinite,diff_p95_abs,diff_std,field,offline_count,offline_max,offline_max_abs,offline_mean,offline_min,offline_nonfinite,offline_p95_abs,offline_std,present,region,step,tclb_count,tclb_max,tclb_max_abs,tclb_mean,tclb_min,tclb_nonfinite,tclb_p95_abs,tclb_std
763392,0.5,0.5,0.0002839273126753577,-4.440892098500626e-16,0,2.220446049250313e-16,0.010375238551377624,PhaseField,763392,1.0,1.0,0.17445521553437984,0.0,0,0.9999999982287173,0.36802092253330343,True,fluid,0,763392,1.0,1.0,0.17473914284705508,0.0,0,0.9999999982649532,0.36813134728139213
38520,0.08261162936116778,0.08261162936116778,0.0013680918735896365,-3.3306690738754696e-16,0,2.220446049250313e-16,0.008992865013476627,PhaseField,38520,0.9498508008944095,0.9498508008944095,0.4825790699196389,0.05000180842184804,0,0.9322863153054171,0.31111739656463355,True,interface,0,38520,0.9606958472335307,0.9606958472335307,0.48394716179322855,0.050001808421848044,0,0.9329173415245671,0.3112246930707322
38400,0.5,0.5,0.004114583521165187,-4.440892098500626e-16,0,2.220446049250313e-16,0.04517036462903836,PhaseField,38400,0.9999999999999043,0.9999999999999043,0.2221821359865209,0.0,0,0.9999999966248171,0.4017481870914943,True,near_wall,0,38400,0.9999999999999041,0.9999999999999041,0.22629671950768607,0.0,0,0.999999996624817,0.4020119323969894
2540,2.220446049250313e-16,3.3306690738754696e-16,-3.0935446680254115e-17,-3.3306690738754696e-16,0,2.220446049250313e-16,8.442949826027804e-17,PhaseField,2540,0.9484695646937391,0.9484695646937391,0.47993018268296966,0.05022998720509775,0,0.9293870610977603,0.3078802102262111,True,near_interface,0,2540,0.948469564693739,0.948469564693739,0.47993018268296966,0.050229987205097734,0,0.9293870610977604,0.3078802102262111
556,2.220446049250313e-16,2.220446049250313e-16,-2.5559091214392094e-17,-2.220446049250313e-16,0,1.8041124150158794e-16,7.970024989837906e-17,PhaseField,556,0.7953511510400257,0.7953511510400257,0.4926642079504398,0.20083984917699066,0,0.769447973743209,0.18556673738684346,True,contact_core,0,556,0.7953511510400256,0.7953511510400256,0.4926642079504397,0.20083984917699066,0,0.7694479737432087,0.18556673738684348
711768,3.3306690738754696e-16,4.440892098500626e-16,-1.134591122641115e-17,-4.440892098500626e-16,0,2.220446049250313e-16,6.27529377838441e-17,PhaseField,711768,1.0,1.0,0.18127143225206827,0.0,0,0.9999999988806574,0.37344048325685003,True,fluid_tclb_fluid,0,711768,1.0,1.0,0.18127143225206827,0.0,0,0.9999999988806574,0.37344048325685003
37600,3.3306690738754696e-16,4.440892098500626e-16,-1.6750319160476138e-17,-4.440892098500626e-16,0,2.220446049250313e-16,7.145393557996963e-17,PhaseField,37600,0.9999999999999043,0.9999999999999043,0.22690941535899456,0.0,0,0.9999999971120718,0.4046764366483146,True,near_wall_tclb_fluid,0,37600,0.9999999999999041,0.9999999999999041,0.22690941535899453,0.0,0,0.9999999971120715,0.4046764366483146
2540,2.220446049250313e-16,3.3306690738754696e-16,-3.0935446680254115e-17,-3.3306690738754696e-16,0,2.220446049250313e-16,8.442949826027804e-17,PhaseField,2540,0.9484695646937391,0.9484695646937391,0.47993018268296966,0.05022998720509775,0,0.9293870610977603,0.3078802102262111,True,near_interface_tclb_fluid,0,2540,0.948469564693739,0.948469564693739,0.47993018268296966,0.050229987205097734,0,0.9293870610977604,0.3078802102262111
556,2.220446049250313e-16,2.220446049250313e-16,-2.5559091214392094e-17,-2.220446049250313e-16,0,1.8041124150158794e-16,7.970024989837906e-17,PhaseField,556,0.7953511510400257,0.7953511510400257,0.4926642079504398,0.20083984917699066,0,0.769447973743209,0.18556673738684346,True,contact_core_tclb_fluid,0,556,0.7953511510400256,0.7953511510400256,0.4926642079504397,0.20083984917699066,0,0.7694479737432087,0.18556673738684348
51624,0.5,0.5,0.004198586685996334,0.0,0,0.0005537207437795728,0.03969102269337047,PhaseField,51624,1.0,1.0,0.08047635026404618,0.0,0,0.9999476679380649,0.26563698144371606,True,offline_fluid_tclb_boundary,0,51624,1.0,1.0,0.08467493695004251,0.0,0,0.9999654117688308,0.26932841928790374
