step,group,bin,active_count,limiter_count,limiter_fraction,normal_limiter_count,normal_limiter_fraction,ratio_cap_selected_count,ratio_cap_selected_fraction,abs_cap_selected_count,abs_cap_selected_fraction,raw_delta_p95,raw_delta_p99,limiter_ratio_p50,cap_demand_ratio_p50,cap_demand_ratio_p95,cap_demand_ratio_p99,normal_raw_abs_p50,normal_raw_abs_p95
0,region,none_or_unknown,7536,0,0.0,6308,0.8370488322717622,5048,0.6698513800424628,2488,0.33014861995753714,0.2508157169821435,0.2534212811279458,0.2740847096064577,3.648507821663899,5.01631433964287,5.068425622558916,0.06133080428151852,0.15245514100433458
0,region,sphere_upper,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,region,sphere_lower90,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,region,sphere_bottom120,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,region,outer_or_other_wall,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,theta_zone,sphere11,7536,0,0.0,6308,0.8370488322717622,5048,0.6698513800424628,2488,0.33014861995753714,0.2508157169821435,0.2534212811279458,0.2740847096064577,3.648507821663899,5.01631433964287,5.068425622558916,0.06133080428151852,0.15245514100433458
0,theta_zone,outer90,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,theta_zone,fallback,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,c_bin,c_0_0p05,1000,0,0.0,412,0.412,1000,1.0,0,0.0,0.03718578139769982,0.03974535091088037,1.0,0.7165846973432874,3.030249585667466,3.18313931122781,0.01608859262834797,0.024543048581596616
0,c_bin,c_0p05_0p10,740,0,0.0,740,1.0,740,1.0,0,0.0,0.11039568695833646,0.1126178520749259,0.21387469235038334,4.675635013242873,4.811736300006958,4.837798905271752,0.036112298180738744,0.0476526612431514
0,c_bin,c_0p10_0p30,1324,0,0.0,1324,1.0,960,0.7250755287009063,364,0.27492447129909364,0.22703911717772093,0.23031417735143886,0.22996317839547456,4.34852225898648,4.5962091428902445,4.6099355268644056,0.08324426169947649,0.11862949547187074
0,c_bin,c_0p30_0p70,1632,0,0.0,1632,1.0,0,0.0,1632,1.0,0.25337422172213575,0.25389556482115394,0.20641610064238802,4.844583559028646,5.067484434442715,5.077911296423078,0.14636025225266994,0.15386520038625762
0,c_bin,c_0p70_0p90,1276,0,0.0,1276,1.0,784,0.6144200626959248,492,0.38557993730407525,0.1863554434684335,0.19131432615857194,0.3451816594816466,2.8970252982203135,3.72710886936867,3.8262865231714387,0.09072827106264036,0.12775463181251415
