step,group,bin,active_count,limiter_count,limiter_fraction,normal_limiter_count,normal_limiter_fraction,stage8h_limiter_equivalent_count,stage8h_limiter_equivalent_fraction,ratio_cap_selected_count,ratio_cap_selected_fraction,abs_cap_selected_count,abs_cap_selected_fraction,raw_delta_p95,raw_delta_p99,limiter_ratio_p50,cap_demand_ratio_p50,cap_demand_ratio_p95,cap_demand_ratio_p99,stage8h_candidate_demand_p50,stage8h_candidate_demand_p95,stage8h_candidate_demand_p99,normal_raw_abs_p50,normal_raw_abs_p95
0,region,none_or_unknown,7536,0,0.0,3392,0.45010615711252655,0,0.0,5048,0.6698513800424628,2488,0.33014861995753714,0.06582348565580953,0.06654671536266692,1.0,0.8477757612775744,1.5509835340495424,1.6049471422959214,5.7713808969024684e-05,0.00010562020805246228,0.00010929731935286506,0.06133080428151852,0.15245514100433458
0,region,sphere_upper,0,0,nan,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,region,sphere_lower90,0,0,nan,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,region,sphere_bottom120,0,0,nan,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,region,outer_or_other_wall,0,0,nan,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,theta_zone,sphere11,0,0,nan,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,theta_zone,outer90,0,0,nan,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,theta_zone,fallback,7536,0,0.0,3392,0.45010615711252655,0,0.0,5048,0.6698513800424628,2488,0.33014861995753714,0.06582348565580953,0.06654671536266692,1.0,0.8477757612775744,1.5509835340495424,1.6049471422959214,5.7713808969024684e-05,0.00010562020805246228,0.00010929731935286506,0.06133080428151852,0.15245514100433458
0,c_bin,c_0_0p05,1000,0,0.0,60,0.06,0,0.0,1000,1.0,0,0.0,0.01270691619521455,0.013642769420312286,1.0,0.20177252206515622,1.0354798551588833,1.089430582313736,1.3742069707275955e-05,7.052055379576667e-05,7.419463995811344e-05,0.01608859262834797,0.024543048581596616
0,c_bin,c_0p05_0p10,740,0,0.0,740,1.0,0,0.0,740,1.0,0,0.0,0.036179265718163045,0.0369260716224287,0.6433317150662469,1.554408055099577,1.618164394492091,1.628001165773326,0.00010585272365326657,0.0001101982053364415,0.00011086892268368266,0.036112298180738744,0.0476526612431514
0,c_bin,c_0p10_0p30,1324,0,0.0,1324,1.0,0,0.0,960,0.7250755287009063,364,0.27492447129909364,0.0647198796922269,0.06523855966977297,0.7671883803464185,1.3034608260730658,1.482268952570918,1.5055615539374465,8.874886578721614e-05,0.00010093638459305633,0.00010252369471174907,0.08324426169947649,0.11862949547187074
0,c_bin,c_0p30_0p70,1632,0,0.0,1268,0.7769607843137255,0,0.0,0,0.0,1632,1.0,0.06653868555369245,0.06677200681580725,0.823669923958847,1.2140788335913193,1.330773711073849,1.335440136316145,8.262789799203091e-05,9.058156643138633e-05,9.090037674879664e-05,0.14636025225266994,0.15386520038625762
0,c_bin,c_0p70_0p90,1276,0,0.0,0,0.0,0,0.0,784,0.6144200626959248,492,0.38557993730407525,0.03883755965908702,0.04003551921336458,1.0,0.5954052219416766,0.7767511931817404,0.8007103842672916,4.0513917323662035e-05,5.28560451838065e-05,5.448670830985526e-05,0.09072827106264036,0.12775463181251415
0,c_bin,c_0p90_0p95,696,0,0.0,0,0.0,0,0.0,696,1.0,0,0.0,0.01534494516629169,0.01560620149940616,1.0,0.6090933119730533,0.620570085534055,0.6223225543216365,4.144517655289777e-05,4.2226036959509975e-05,4.2345285131440935e-05,0.03641927559553615,0.05062270342068331
0,c_bin,c_0p95_1,868,0,0.0,0,0.0,0,0.0,868,1.0,0,0.0,0.0045862299963682004,0.004922906740948748,1.0,0.06140246365066771,0.36547817967736423,0.38456350397452826,4.178059864565449e-06,2.486855879151885e-05,2.6167198302924512e-05,0.016411549453357488,0.025097148072789566
0,tangent_bin,t_0_0p005,60,0,0.0,0,0.0,0,0.0,60,1.0,0,0.0,1.947767956381886e-06,1.947767956381886e-06,1.0,6.830354231421297e-05,0.0001947767956381886,0.0001947767956381886,4.6476339930117e-09,1.3253357904724983e-08,1.3253357904724983e-08,0.010501676465884013,0.010721630941751603
0,tangent_bin,t_0p005_0p01,952,0,0.0,0,0.0,0,0.0,952,1.0,0,0.0,0.0018429365790093846,0.0022037058670410703,1.0,0.021396696561873225,0.18429365790093846,0.21326204105012728,1.457284117057649e-06,1.2540052144780698e-05,1.4511174285508731e-05,0.013139095655361144,0.019846644992900564
