cap,cap_hit_count,cap_hit_high_rho_fraction,cap_hit_low_rho_fraction,case,failures,max_delta_g_minus_mf,max_delta_g_minus_mf_rel,max_delta_g_norm,max_mf_norm,max_post_cap_force_over_rho,max_pre_cap_force_over_rho,max_replay_force_over_rho,max_replay_minus_post,max_replay_minus_pre,missing_fields,mode,nonfinite_total,path,phase_from_h_max,phase_from_h_min,phase_from_h_oob_count,step
0.0,0,0.0,1.0,wall_60to30_10,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],0,0,/mnt/usb1t/RUNS/runs/stage14_B36_force_over_rho_cap_20260628/M0_baseline/wall_60to30_10/output/case_VTK_P00_00000000.vti,0.0,0.0,0,0
0.0,0,0.0,1.0,wall_60to30_10,[],2.911239301299138e-18,1.903412753117147e-15,0.002606756315936203,0.0026067563159362004,0.0,0.0,0.0026067563159362004,0.0026067563159362004,0.0026067563159362004,[],0,0,/mnt/usb1t/RUNS/runs/stage14_B36_force_over_rho_cap_20260628/M0_baseline/wall_60to30_10/output/case_VTK_P00_00000001.vti,0.9999999717996106,0.0,0,1
0.0,0,0.0,1.0,wall_60to30_10,[],2.042773183694194e-18,9.60506936247817e-07,0.0016174453027340764,0.0016174453027340751,0.0,0.0,0.0016174453027340751,0.0016174453027340751,0.0016174453027340751,[],0,0,/mnt/usb1t/RUNS/runs/stage14_B36_force_over_rho_cap_20260628/M0_baseline/wall_60to30_10/output/case_VTK_P00_00000002.vti,0.999999968229641,0.0,0,2
0.0,0,0.0,1.0,wall_60to30_10,[],6.857501387204165e-18,1.0171093841443108e-06,0.004392659223379282,0.004392659223379278,0.0,0.0,0.004392659223379278,0.004392659223379278,0.004392659223379278,[],0,0,/mnt/usb1t/RUNS/runs/stage14_B36_force_over_rho_cap_20260628/M0_baseline/wall_60to30_10/output/case_VTK_P00_00000003.vti,0.9999999661570658,-5.406159000775783e-06,0,3
0.0,0,0.0,1.0,wall_60to30_10,[],4.6121870338060026e-18,2.915559968624419e-06,0.00343358459488429,0.0034335845948842867,0.0,0.0,0.0034335845948842867,0.0034335845948842867,0.0034335845948842867,[],0,0,/mnt/usb1t/RUNS/runs/stage14_B36_force_over_rho_cap_20260628/M0_baseline/wall_60to30_10/output/case_VTK_P00_00000004.vti,0.9999999647363015,0.0,0,4
0.0,0,0.0,1.0,wall_60to30_10,[],2.8992761330707786e-17,1.5409134784802022e-06,0.02322409131773833,0.023224091317738314,0.0,0.0,0.023224091317738314,0.023224091317738314,0.023224091317738314,[],0,0,/mnt/usb1t/RUNS/runs/stage14_B36_force_over_rho_cap_20260628/M0_baseline/wall_60to30_10/output/case_VTK_P00_00000005.vti,0.9999999627031,-2.732786089954565e-07,0,5
0.0,0,0.0,1.0,wall_60to30_10,[],2.0692361326997416e-17,1.3120298153342511e-05,0.019903682992461664,0.019903682992461647,0.0,0.0,0.019903682992461647,0.019903682992461647,0.019903682992461647,[],0,0,/mnt/usb1t/RUNS/runs/stage14_B36_force_over_rho_cap_20260628/M0_baseline/wall_60to30_10/output/case_VTK_P00_00000006.vti,0.999999957698655,-3.081505499975177e-08,0,6
0.0,0,0.0,1.0,wall_60to30_10,[],1.1451416145712477e-16,6.930010392464148e-06,0.0930486179784077,0.09304861797840763,0.0,0.0,0.09304861797840763,0.09304861797840763,0.09304861797840763,[],0,0,/mnt/usb1t/RUNS/runs/stage14_B36_force_over_rho_cap_20260628/M0_baseline/wall_60to30_10/output/case_VTK_P00_00000007.vti,0.9999999455981661,-8.327530607303045e-08,0,7
0.0,0,0.0,1.0,wall_60to30_10,[],1.226528632274777e-16,4.339616255509877e-05,0.11281081239585013,0.11281081239585004,0.0,0.0,0.11281081239585004,0.11281081239585004,0.11281081239585004,[],0,0,/mnt/usb1t/RUNS/runs/stage14_B36_force_over_rho_cap_20260628/M0_baseline/wall_60to30_10/output/case_VTK_P00_00000008.vti,1.0000053091655117,-1.8463421265514084e-06,0,8
0.0,0,0.0,1.0,wall_60to30_10,[],5.367634331827167e-16,2.527802517629337e-05,0.39655507022160374,0.39655507022160336,0.0,0.0,0.39655507022160336,0.39655507022160336,0.39655507022160336,[],0,0,/mnt/usb1t/RUNS/runs/stage14_B36_force_over_rho_cap_20260628/M0_baseline/wall_60to30_10/output/case_VTK_P00_00000009.vti,1.0000114707637806,-3.809193964396016e-06,0,9
0.0,0,0.0,1.0,wall_60to30_10,[],4.552424283574e-16,1.4662055193699018e-05,0.4475681724781785,0.44756817247817804,0.0,0.0,0.44756817247817804,0.44756817247817804,0.44756817247817804,[],0,0,/mnt/usb1t/RUNS/runs/stage14_B36_force_over_rho_cap_20260628/M0_baseline/wall_60to30_10/output/case_VTK_P00_00000010.vti,1.0000151843796043,-6.035358240013707e-06,0,10
0.0,0,0.0,1.0,wall_60to30_10,[],1.3820696934712351e-15,5.273264056140192e-05,1.2384903973054562,1.238490397305455,0.0,0.0,1.238490397305455,1.238490397305455,1.238490397305455,[],0,0,/mnt/usb1t/RUNS/runs/stage14_B36_force_over_rho_cap_20260628/M0_baseline/wall_60to30_10/output/case_VTK_P00_00000011.vti,1.0000186411159044,-8.28255111948363e-06,0,11
