step,group,bin,active_count,limiter_count,limiter_fraction,normal_limiter_count,normal_limiter_fraction,ratio_cap_selected_count,ratio_cap_selected_fraction,abs_cap_selected_count,abs_cap_selected_fraction,raw_delta_p95,raw_delta_p99,limiter_ratio_p50,cap_demand_ratio_p50,cap_demand_ratio_p95,cap_demand_ratio_p99,normal_raw_abs_p50,normal_raw_abs_p95
0,region,none_or_unknown,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,region,sphere_upper,780,0,0.0,728,0.9333333333333333,608,0.7794871794871795,172,0.2205128205128205,0.7527197806345167,0.8271105440830034,0.08956631935725307,11.1649111761677,40.678143443613834,47.0883538794094,0.040044763133777514,0.16113051123820465
0,region,sphere_lower90,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,region,sphere_bottom120,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,region,outer_or_other_wall,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,theta_zone,sphere11,780,0,0.0,728,0.9333333333333333,608,0.7794871794871795,172,0.2205128205128205,0.7527197806345167,0.8271105440830034,0.08956631935725307,11.1649111761677,40.678143443613834,47.0883538794094,0.040044763133777514,0.16113051123820465
0,theta_zone,outer90,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,theta_zone,fallback,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,c_bin,c_0_0p05,216,0,0.0,164,0.7592592592592593,216,1.0,0,0.0,0.05951944926555565,0.06298618780181821,0.44612310129790184,2.246224973900441,8.67838699771755,9.107249229385264,0.008109033702823985,0.013515143930597964
0,c_bin,c_0p05_0p10,152,0,0.0,152,1.0,152,1.0,0,0.0,0.2505731300499455,0.2515586313145287,0.04867701785249973,20.55402874531839,47.58728390983885,48.73066522957327,0.02375822467805094,0.039628435157096645
0,c_bin,c_0p10_0p30,248,0,0.0,248,1.0,196,0.7903225806451613,52,0.20967741935483872,0.561291661926076,0.569088797952202,0.0808984173100114,12.361207309907751,40.69566387525879,40.75280127099015,0.05144022268361406,0.1294408911267939
0,c_bin,c_0p30_0p70,164,0,0.0,164,1.0,44,0.2682926829268293,120,0.7317073170731707,0.8265574081139027,0.8291913889191439,0.08606377042181979,11.619291080308859,28.379333290179098,28.465557960359025,0.1368249198453946,0.16925353354578526
0,c_bin,c_0p70_0p90,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,c_bin,c_0p90_0p95,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,c_bin,c_0p95_1,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,tangent_bin,t_0_0p005,4,0,0.0,4,1.0,0,0.0,4,1.0,0.09327678743513121,0.09327678743513121,0.536039044384673,1.865535748702624,1.865535748702624,1.865535748702624,0.1678865092950575,0.1678865092950575
0,tangent_bin,t_0p005_0p01,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,tangent_bin,t_0p01_0p02,196,0,0.0,144,0.7346938775510204,176,0.8979591836734694,20,0.10204081632653061,0.24501535906842808,0.2610104794815701,0.5267358825285762,1.8984846735702472,5.4274297227646535,6.710800232514261,0.008109033702823983,0.16925353354578526
0,tangent_bin,t_0p02_0p05,264,0,0.0,264,1.0,244,0.9242424242424242,20,0.07575757575757576,0.3409228847318749,0.3758441553214259,0.0739659765098058,13.51972957279119,44.96087748133389,48.73066522957327,0.026163064670867923,0.13801269474803923
0,tangent_bin,t_0p05_0p10,240,0,0.0,240,1.0,136,0.5666666666666667,104,0.43333333333333335,0.582035426896938,0.6066496953186229,0.08300380661007742,12.047640232906993,40.69566387525879,40.75280127099015,0.09558608592731696,0.15646940393814918
0,tangent_bin,t_0p10_inf,76,0,0.0,76,1.0,52,0.6842105263157895,24,0.3157894736842105,0.8291913889191439,0.8291913889191439,0.051451375139253956,19.43582649236263,28.465557960359025,28.465557960359025,0.08181923211708304,0.14152898003061126
0,normal_raw_abs_bin,normal_raw_abs_0_1e-4,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,normal_raw_abs_bin,normal_raw_abs_1e-4_1e-3,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,normal_raw_abs_bin,normal_raw_abs_1e-3_1e-2,164,0,0.0,112,0.6829268292682927,164,1.0,0,0.0,0.19232364918832495,0.21704322221629196,0.5643930065419932,1.7718150090607045,46.65179010278346,48.73066522957327,0.007364746890210363,0.009641712769362213
0,normal_raw_abs_bin,normal_raw_abs_1e-2_5e-2,308,0,0.0,308,1.0,308,1.0,0,0.0,0.5571740459408384,0.569088797952202,0.07277926583200693,13.740177076095472,40.689531724183055,40.75280127099015,0.026088639560861528,0.04844697948645729
0,normal_raw_abs_bin,normal_raw_abs_5e-2_inf,308,0,0.0,308,1.0,136,0.44155844155844154,172,0.5584415584415584,0.8193467036007727,0.8291913889191439,0.08956631935725307,11.1649111761677,25.920651535785716,28.465557960359025,0.12372983822095972,0.16860443989278928
0,cap_source,abs_cap_selected,172,0,0.0,172,1.0,0,0.0,172,1.0,0.6930499700679371,0.7372050152619702,0.10622803518388253,9.413710780482601,13.860999401358741,14.744100305239405,0.13801269474803923,0.16925353354578526
0,cap_source,ratio_cap_selected,608,0,0.0,556,0.9144736842105263,608,1.0,0,0.0,0.795112199582985,0.8291913889191439,0.08006297921185208,12.491171824226432,40.69566387525879,48.73066522957327,0.024957467054652866,0.09358543193663263
